"","state","name","census_id","id","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed"
"1","TN","Electric Power Board of the Metropolitan Government of Nashville & Davidson County",NA,106805,2020,"Special District",1170651000,554063000,207313000,0,0,0,209700000,0,191048000,0,0,0,0,0,0,0,0,1278700000,8229000,0,1286929000,FALSE
"2","TN","Nashville and Davidson County",NA,223211,2020,"General Purpose",10106765040,4340274238,431000385,0,24118692,625609379,303734402,0,4261044596,0,97051724,503789653,521030503,80371785,1880247448,-197332415,3182771804,265887373,1284140,26567580,2985439389,FALSE
"3","TN","Nashville-Davidson County","43201900300000",168934,2020,"General Purpose",10106765040,4340274238,431000385,0,24118692,625609379,303734402,0,4261044596,0,97051724,503789653,521030503,80371785,1880247448,-197332415,3182771804,265887373,1284140,26567580,2985439389,FALSE
"4","TN","KIPP Nashville",NA,197466,2020,"School District",49223756,41962812,2280769,0,0,3750211,1229964,987608,0,0,0,0,3259799,0,28346800,1983776,29622823,0,0,0,31606599,FALSE
"5","TN","Republic Schools Nashville",NA,55436,2020,"Charter School",17164706,0,1353140,0,0,15379747,431819,698995,0,0,0,0,19002929,0,2086363,116971,20972321,0,0,0,21089292,FALSE
"6","TN","Metropolitan Nashville Airport Authority",NA,65052,2020,"Special District",1495256081,1366884878,85323815,0,0,13476680,0,3145335,0,1922552,0,0,0,0,0,0,0,143918638,73967380,21287199,217886018,FALSE
"7","TN","Nashville & Eastern Railroad Authority",NA,107246,2020,"Special District",8400718,0,1269307,0,0,0,0,0,0,0,0,335693,2631807,0,952,829511,2138941,0,0,0,2968452,FALSE
"8","TN","Metropolitan Nashville Public Schools",NA,107203,2020,"School District",133188,0,133188,0,0,0,0,0,0,0,0,0,0,0,6536060,357736,6178324,0,0,0,6536060,FALSE
"9","TN","Nashville Classical Charter School Inc.",NA,107243,2020,"Charter School",1245984,0,71182,0,733970,366672,74160,236284,0,0,0,0,5946942,0,22930,386761,5583111,0,0,0,5969872,FALSE
"10","TN","Emergency Communications District of Metropolitan Nashville and Davidson County",NA,106814,2020,"Special District",104169,0,104169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7014989,405459,0,7420448,FALSE
